state,x,y
Andaman & Nicobar Islands,220, -280
Andhra Pradesh,-60, -180
Arunachal Pradesh,290, 140
Assam,240, 95
Bihar,95, 65
Chandigarh,-130, 190
Chhattisgarh,15, -45
Daman & Diu,-180, -40
Delhi,-80, 140
Goa,-200, -180
Gujarat,-197, 25
Haryana,-115, 165
Himachal Pradesh,-68, 220
Jammu & Kashmir,-148, 250
Jharkhand,97, 25
Karnataka,-150, -170
Kerala,-140, -280
Ladakh,-68, 285
Lakshadweep,-255, -280
Madhya Pradesh,-67, 25
Maharashtra,-135, -55
Manipur,280, 50
Meghalaya,220, 70
Mizoram,265, 20
Nagaland,290, 80
Odisha,97, -45
Puducherry,-30, -250
Punjab,-140, 210
Rajasthan,-155, 115
Sikkim,160, 108
Tamil Nadu,-70, -280
Telangana,-60, -120
Tripura,195, 20
Uttarakhand,-45, 180
Uttar Pradesh,5, 100
West Bengal,145, 1